FID,Entity,GRID_ID,longitude,latitude
485,LWPolyline,"7,59",72.82979338,33.75805003
486,LWPolyline,"7,58",72.82982628,33.75804963
487,LWPolyline,"7,57",72.82985917,33.75804922
488,LWPolyline,"7,56",72.82989206,33.75804881
489,LWPolyline,"7,55",72.82992496,33.75804841
490,LWPolyline,"7,54",72.82995785,33.758048
491,LWPolyline,"7,53",72.82999074,33.7580476
492,LWPolyline,"7,52",72.83002363,33.75804719
493,LWPolyline,"7,51",72.83005653,33.75804678
494,LWPolyline,"7,50",72.83008942,33.75804638
495,LWPolyline,"7,49",72.83012231,33.75804597
496,LWPolyline,"7,48",72.8301552,33.75804556
497,LWPolyline,"7,47",72.8301881,33.75804516
498,LWPolyline,"7,46",72.83022099,33.75804475
499,LWPolyline,"7,45",72.83025388,33.75804435
500,LWPolyline,"7,44",72.83028678,33.75804394
501,LWPolyline,"7,43",72.83031967,33.75804353
502,LWPolyline,"7,42",72.83035256,33.75804313
503,LWPolyline,"7,41",72.83038545,33.75804272
504,LWPolyline,"7,40",72.83041835,33.75804232
505,LWPolyline,"7,39",72.83045124,33.75804191
506,LWPolyline,"7,38",72.83048413,33.7580415
507,LWPolyline,"7,37",72.83051702,33.7580411
508,LWPolyline,"7,36",72.83054992,33.75804069
509,LWPolyline,"7,35",72.83058281,33.75804028
510,LWPolyline,"7,34",72.8306157,33.75803988
511,LWPolyline,"8,106",72.82824694,33.75804163
512,LWPolyline,"8,105",72.82827984,33.75804123
513,LWPolyline,"8,104",72.82831273,33.75804082
514,LWPolyline,"8,103",72.82834562,33.75804042
515,LWPolyline,"8,102",72.82837851,33.75804001
516,LWPolyline,"8,101",72.82841141,33.75803961
517,LWPolyline,"8,100",72.8284443,33.7580392
518,LWPolyline,"8,99",72.82847719,33.75803879
519,LWPolyline,"8,98",72.82851008,33.75803839
520,LWPolyline,"8,97",72.82854298,33.75803798
521,LWPolyline,"8,96",72.82857587,33.75803758
522,LWPolyline,"8,95",72.82860876,33.75803717
523,LWPolyline,"8,94",72.82864165,33.75803677
524,LWPolyline,"8,93",72.82867455,33.75803636
525,LWPolyline,"8,92",72.82870744,33.75803595
526,LWPolyline,"8,91",72.82874033,33.75803555
527,LWPolyline,"8,90",72.82877323,33.75803514
528,LWPolyline,"8,89",72.82880612,33.75803474
529,LWPolyline,"8,88",72.82883901,33.75803433
530,LWPolyline,"8,87",72.8288719,33.75803392
531,LWPolyline,"8,86",72.8289048,33.75803352
532,LWPolyline,"8,85",72.82893769,33.75803311
